AID: 1329379	Substance BioActivity: 3 Active, 20 Tested
AID: 1329380	Substance BioActivity: 20 Tested
AID: 1329381	Substance BioActivity: 20 Tested
AID: 774807	Substance BioActivity: 18 Active, 19 Tested
AID: 774808	Substance BioActivity: 18 Active, 19 Tested
AID: 774809	Substance BioActivity: 15 Active, 19 Tested
AID: 774810	Substance BioActivity: 17 Active, 19 Tested
AID: 1064215	Substance BioActivity: 19 Tested
AID: 1064216	Substance BioActivity: 12 Active, 19 Tested
AID: 1064217	Substance BioActivity: 8 Active, 19 Tested
AID: 1064218	Substance BioActivity: 6 Active, 19 Tested
AID: 1064219	Substance BioActivity: 10 Active, 19 Tested
AID: 1064222	Substance BioActivity: 6 Active, 19 Tested
AID: 1162264	Substance BioActivity: 7 Active, 1 Activity <= 1 µM, 19 Tested
AID: 1162265	Substance BioActivity: 9 Active, 19 Tested
AID: 1162266	Substance BioActivity: 7 Active, 19 Tested
AID: 1162267	Substance BioActivity: 9 Active, 19 Tested
AID: 1162268	Substance BioActivity: 8 Active, 1 Activity <= 1 µM, 19 Tested
AID: 1165236	Substance BioActivity: 8 Active, 19 Tested
AID: 1261133	Substance BioActivity: 2 Active, 19 Tested
AID: 1261134	Substance BioActivity: 3 Active, 19 Tested
AID: 1261135	Substance BioActivity: 4 Active, 19 Tested
AID: 1261136	Substance BioActivity: 9 Active, 19 Tested
AID: 1261137	Substance BioActivity: 6 Active, 19 Tested
AID: 549145	Substance BioActivity: 18 Active, 2 Activity <= 1 µM, 18 Tested
AID: 549146	Substance BioActivity: 15 Active, 18 Tested
AID: 549147	Substance BioActivity: 16 Active, 1 Activity <= 1 µM, 18 Tested
AID: 549148	Substance BioActivity: 16 Active, 1 Activity <= 1 µM, 18 Tested
AID: 549149	Substance BioActivity: 16 Active, 1 Activity <= 1 µM, 18 Tested
AID: 1235385	Substance BioActivity: 18 Tested
AID: 1235386	Substance BioActivity: 18 Tested
AID: 1235387	Substance BioActivity: 18 Tested
AID: 1235388	Substance BioActivity: 18 Tested
AID: 1235389	Substance BioActivity: 16 Active, 18 Tested
AID: 1235390	Substance BioActivity: 18 Tested
AID: 1235391	Substance BioActivity: 18 Tested
AID: 1235392	Substance BioActivity: 18 Tested
AID: 1235393	Substance BioActivity: 15 Active, 18 Tested
AID: 1235394	Substance BioActivity: 18 Tested
