PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
160713883,Inactive,0
160713884,Inactive,0
160713885,Inactive,0
160713886,Inactive,0
160713887,Inactive,0
160713888,Active,100
160713889,Inactive,0
160713890,Inactive,0
160713891,Inactive,0
160713892,Inactive,0
160713893,Inactive,0
160713894,Active,100
160713895,Inactive,0
160713896,Inactive,0
160713897,Active,100
160713898,Inactive,0
160713899,Inactive,0
160713900,Inactive,0
160713901,Inactive,0
160713902,Inactive,0
160713903,Inactive,0
160713904,Inactive,0
160713905,Inactive,0
160713906,Inactive,0
160713907,Inactive,0
160713908,Inactive,0
160713909,Inactive,0
160713910,Inactive,0
160713911,Inactive,0
160713912,Inactive,0
160713913,Inactive,0
160713914,Inactive,0
160713915,Active,100
160713916,Inactive,0
160713917,Active,100
160713918,Inactive,0
160713919,Inactive,0
160713920,Inactive,0
160713921,Inactive,0
160713922,Active,100
160713923,Inactive,0
160713924,Inactive,0
160713925,Inactive,0
160713926,Inactive,0
160713927,Inactive,0
160713928,Active,100
160713929,Inactive,0
160713930,Inactive,0
160713931,Inactive,0
160713932,Inactive,0
160713933,Active,100
160713934,Inactive,0
160713935,Inactive,0
160713936,Active,100
160713937,Inactive,0
160713938,Inactive,0
160713939,Inactive,0
160713940,Inactive,0
160713941,Inactive,0
160713942,Inactive,0
160713943,Active,100
160713944,Active,100
160713945,Active,100
160713946,Active,100
160713947,Inactive,0
160713948,Active,100
160713949,Inactive,0
160713950,Inactive,0
160713951,Inactive,0
160713952,Inactive,0
160713953,Inactive,0
160713954,Inactive,0
160713955,Inactive,0
160713956,Inactive,0
160713957,Inactive,0
160713958,Inactive,0
160713959,Inactive,0
160713960,Inactive,0
160713961,Inactive,0
160713962,Inactive,0
160713963,Inactive,0
160713964,Inactive,0
160713965,Inactive,0
160713966,Active,100
160713967,Inactive,0
160713968,Inactive,0
160713969,Inactive,0
160713970,Inactive,0
160713971,Inactive,0
160713972,Inactive,0
160713973,Inactive,0
160713974,Inactive,0
160713975,Inactive,0
160713976,Inactive,0
160713977,Inactive,0
160713978,Inactive,0
160713979,Inactive,0
160713980,Inactive,0
160713981,Inactive,0
160713982,Inactive,0
160713983,Inactive,0
160713984,Inactive,0
160713985,Inactive,0
160713986,Inactive,0
160713987,Inactive,0
160713988,Inactive,0
160713989,Inactive,0
160713990,Inactive,0
160713991,Inactive,0
160713992,Inactive,0
160713993,Inactive,0
160713994,Inactive,0
160713995,Inactive,0
160713996,Inactive,0
160713997,Inactive,0
160713998,Inactive,0
160713999,Active,100
160714000,Active,100
160714001,Inactive,0
160714002,Inactive,0
160714003,Inactive,0
160714004,Active,100
160714005,Inactive,0
160714006,Inactive,0
160714007,Inactive,0
160714008,Inactive,0
160714009,Inactive,0
160714010,Inactive,0
160714011,Inactive,0
160714012,Inactive,0
160714013,Active,100
160714014,Inactive,0
160714015,Inactive,0
160714016,Inactive,0
160714017,Active,100
160714018,Active,100
160714019,Inactive,0
160714020,Inactive,0
160714021,Inactive,0
160714022,Inactive,0
160714023,Inactive,0
160714024,Inactive,0
160714025,Inactive,0
160714026,Inactive,0
160714027,Inactive,0
160714028,Inactive,0
160714029,Inactive,0
160714030,Inactive,0
160714031,Inactive,0
160714032,Inactive,0
160714033,Inactive,0
160714034,Inactive,0
160714035,Inactive,0
160714036,Inactive,0
160714037,Inactive,0
160714038,Inactive,0
160714039,Inactive,0
160714040,Inactive,0
160714041,Inactive,0
160714042,Inactive,0
160714043,Inactive,0
160714044,Inactive,0
160714045,Inactive,0
160714046,Inactive,0
160714047,Inactive,0
160714048,Inactive,0
160714049,Active,100
160714050,Inactive,0
160714051,Inactive,0
160714052,Inactive,0
160714053,Active,100
160714054,Inactive,0
160714055,Inactive,0
160714056,Inactive,0
160714057,Inactive,0
160714058,Inactive,0
160714059,Inactive,0
160714060,Inactive,0
160714061,Inactive,0
160714062,Inactive,0
160714063,Inactive,0
160714064,Inactive,0
160714065,Inactive,0
160714066,Inactive,0
160714067,Inactive,0
160714068,Inactive,0
160714069,Inactive,0
160714070,Inactive,0
160714071,Inactive,0
160714072,Active,100
160714073,Inactive,0
160714074,Active,100
160714075,Inactive,0
160714076,Inactive,0
160714077,Inactive,0
160714078,Inactive,0
160714079,Inactive,0
160714080,Inactive,0
160714081,Inactive,0
160714082,Inactive,0
160714083,Inactive,0
160714084,Inactive,0
160714085,Inactive,0
160714086,Inactive,0
160714087,Inactive,0
160714088,Inactive,0
160714089,Inactive,0
160714090,Inactive,0
160714091,Inactive,0
160714092,Inactive,0
160714093,Inactive,0
160714094,Inactive,0
160714095,Inactive,0
160714096,Inactive,0
160714097,Inactive,0
160714098,Inactive,0
160714099,Inactive,0
160714100,Active,100
160714101,Inactive,0
160714102,Inactive,0
160714103,Inactive,0
160714104,Inactive,0
160714105,Inactive,0
160714106,Inactive,0
160714107,Inactive,0
160714108,Inactive,0
160714109,Inactive,0
160714110,Inactive,0
160714111,Inactive,0
160714112,Inactive,0
160714113,Inactive,0
160714114,Inactive,0
160714115,Inactive,0
160714116,Inactive,0
160714117,Inactive,0
160714118,Active,100
160714119,Inactive,0
160714120,Inactive,0
160714121,Active,100
160714122,Inactive,0
160714123,Inactive,0
160714124,Inactive,0
160714125,Inactive,0
160714126,Inactive,0
160714127,Inactive,0
160714128,Inactive,0
160714129,Active,100
160714130,Active,100
160714131,Inactive,0
160714132,Inactive,0
160714133,Inactive,0
160714134,Inactive,0
160714135,Inactive,0
160714136,Inactive,0
160714137,Active,100
160714138,Active,100
160714139,Inactive,0
160714140,Inactive,0
160714141,Inactive,0
160714142,Inactive,0
160714143,Inactive,0
160714144,Active,100
160714145,Active,100
160714146,Inactive,0
160714147,Active,100
160714148,Active,100
160714149,Inactive,0
160714150,Active,100
160714151,Inactive,0
160714152,Inactive,0
160714153,Inactive,0
160714154,Inactive,0
160714155,Inactive,0
160714156,Inactive,0
160714157,Inactive,0
160714158,Inactive,0
160714159,Inactive,0
160714160,Inactive,0
160714161,Inactive,0
160714162,Inactive,0
160714163,Inactive,0
160714164,Inactive,0
160714165,Active,100
160714166,Inactive,0
160714167,Inactive,0
160714168,Inactive,0
160714169,Inactive,0
160714170,Inactive,0
160714171,Inactive,0
160714172,Inactive,0
160714173,Inactive,0
160714174,Inactive,0
160714175,Inactive,0
160714176,Inactive,0
160714177,Inactive,0
160714178,Inactive,0
160714179,Inactive,0
160714180,Inactive,0
160714181,Inactive,0
160714182,Inactive,0
160714183,Inactive,0
160714184,Active,100
160714185,Inactive,0
160714186,Active,100
160714187,Inactive,0
160714188,Inactive,0
160714189,Inactive,0
160714190,Inactive,0
160714191,Inactive,0
160714192,Inactive,0
160714193,Inactive,0
160714194,Inactive,0
160714195,Inactive,0
160714196,Inactive,0
160714197,Inactive,0
160714198,Inactive,0
160714199,Inactive,0
160714200,Inactive,0
160714201,Inactive,0
160714202,Inactive,0
160714203,Inactive,0
160714204,Active,100
160714205,Inactive,0
160714206,Inactive,0
160714207,Inactive,0
160714208,Inactive,0
160714209,Inactive,0
160714210,Inactive,0
160714211,Inactive,0
160714212,Inactive,0
160714213,Active,100
160714214,Inactive,0
160714215,Inactive,0
160714216,Inactive,0
160714217,Inactive,0
160714218,Inactive,0
160714219,Inactive,0
160714220,Inactive,0
160714221,Inactive,0
160714222,Inactive,0
160714223,Inactive,0
160714224,Inactive,0
160714225,Inactive,0
160714226,Inactive,0
160714227,Active,100
160714228,Inactive,0
160714229,Inactive,0
160714230,Inactive,0
160714231,Active,100
160714232,Inactive,0
160714233,Inactive,0
160714234,Inactive,0
160714235,Inactive,0
160714236,Active,100
160714237,Active,100
160714238,Inactive,0
160714239,Inactive,0
160714240,Inactive,0
160714241,Inactive,0
160714242,Inactive,0
160714243,Inactive,0
160714244,Inactive,0
160714245,Inactive,0
160714246,Inactive,0
160714247,Inactive,0
160714248,Inactive,0
160714249,Inactive,0
160714250,Active,100
160714251,Inactive,0
160714252,Inactive,0
160714253,Inactive,0
160714254,Inactive,0
160714255,Inactive,0
160714256,Inactive,0
160714257,Inactive,0
160714258,Inactive,0
160714259,Inactive,0
160714260,Inactive,0
160714261,Inactive,0
160714262,Inactive,0
160714263,Inactive,0
160714264,Inactive,0
160714265,Inactive,0
160714266,Active,100
160714267,Inactive,0
160714268,Inactive,0
160714269,Inactive,0
160714270,Inactive,0
160714271,Inactive,0
160714272,Inactive,0
160714273,Inactive,0
160714274,Active,100
160714275,Inactive,0
160714276,Active,100
160714277,Inactive,0
160714278,Inactive,0
160714279,Inactive,0
160714280,Inactive,0
160714281,Inactive,0
160714282,Inactive,0
160714283,Inactive,0
160714284,Inactive,0
160714285,Inactive,0
160714286,Inactive,0
160714287,Inactive,0
160714288,Inactive,0
160714289,Inactive,0
160714290,Inactive,0
160714291,Inactive,0
160714292,Inactive,0
160714293,Inactive,0
160714294,Inactive,0
160714295,Inactive,0
160714296,Inactive,0
160714297,Inactive,0
160714298,Inactive,0
160714299,Inactive,0
160714300,Inactive,0
160714301,Inactive,0
160714302,Active,100
160714303,Inactive,0
160714304,Inactive,0
160714305,Inactive,0
160714306,Active,100
160714307,Inactive,0
160714308,Inactive,0
160714309,Active,100
160714310,Inactive,0
160714311,Inactive,0
160714312,Inactive,0
160714313,Inactive,0
160714314,Inactive,0
160714315,Inactive,0
160714316,Inactive,0
160714317,Inactive,0
160714318,Inactive,0
160714319,Inactive,0
160714320,Inactive,0
160714321,Inactive,0
160714322,Inactive,0
160714323,Inactive,0
160714324,Inactive,0
160714325,Inactive,0
160714326,Inactive,0
160714327,Inactive,0
160714328,Inactive,0
160714329,Inactive,0
160714330,Inactive,0
160714331,Inactive,0
160714332,Inactive,0
160714333,Inactive,0
160714334,Inactive,0
160714335,Inactive,0
160714336,Inactive,0
160714337,Active,100
160714338,Inactive,0
160714339,Inactive,0
160714340,Inactive,0
160714341,Active,100
160714342,Active,100
160714343,Inactive,0
160714344,Inactive,0
160714345,Inactive,0
160714346,Inactive,0
160714347,Inactive,0
160714348,Active,100
160714349,Inactive,0
160714350,Inactive,0
160714351,Inactive,0
160714352,Inactive,0
160714353,Inactive,0
160714354,Inactive,0
160714355,Active,100
160714356,Inactive,0
160714357,Inactive,0
160714358,Inactive,0
160714359,Inactive,0
160714360,Inactive,0
160714361,Inactive,0
160714362,Inactive,0
160714363,Inactive,0
160714364,Active,100
160714365,Inactive,0
160714366,Inactive,0
160714367,Inactive,0
160714368,Inactive,0
160714369,Inactive,0
160714370,Inactive,0
160714371,Inactive,0
160714372,Inactive,0
160714373,Inactive,0
160714374,Inactive,0
160714375,Inactive,0
160714376,Active,100
160714377,Active,100
160714378,Inactive,0
160714379,Inactive,0
160714380,Inactive,0
160714381,Inactive,0
160714382,Inactive,0
160714383,Inactive,0
160714384,Inactive,0
160714385,Inactive,0
160714386,Inactive,0
160714387,Inactive,0
160714388,Inactive,0
160714389,Inactive,0
160714390,Active,100
160714391,Inactive,0
160714392,Inactive,0
160714393,Inactive,0
160714394,Inactive,0
160714395,Inactive,0
160714396,Inactive,0
160714397,Inactive,0
160714398,Inactive,0
160714399,Inactive,0
160714400,Inactive,0
160714401,Inactive,0
160714402,Inactive,0
160714403,Inactive,0
160714404,Inactive,0
160714405,Inactive,0
160714406,Inactive,0
160714407,Inactive,0
160714408,Inactive,0
160714409,Active,100
160714410,Inactive,0
160714411,Inactive,0
160714412,Active,100
160714413,Inactive,0
160714414,Inactive,0
160714415,Inactive,0
160714416,Inactive,0
160714417,Inactive,0
160714418,Active,100
160714419,Inactive,0
160714420,Active,100
160714421,Inactive,0
160714422,Active,100
160714423,Inactive,0
160714424,Inactive,0
160714425,Inactive,0
160714426,Inactive,0
160714427,Inactive,0
160714428,Inactive,0
160714429,Inactive,0
160714430,Inactive,0
160714431,Inactive,0
160714432,Inactive,0
160714433,Inactive,0
160714434,Inactive,0
160714435,Inactive,0
160714436,Inactive,0
160714437,Inactive,0
160714438,Inactive,0
160714439,Inactive,0
160714440,Active,100
160714441,Active,100
160714442,Inactive,0
160714443,Inactive,0
160714444,Inactive,0
160714445,Inactive,0
160714446,Inactive,0
160714447,Inactive,0
160714448,Inactive,0
160714449,Inactive,0
160714450,Inactive,0
160714451,Active,100
160714452,Inactive,0
160714453,Inactive,0
160714454,Inactive,0
160714455,Inactive,0
160714456,Inactive,0
160714457,Inactive,0
160714458,Inactive,0
160714459,Inactive,0
160714460,Active,100
160714461,Inactive,0
160714462,Inactive,0
160714463,Active,100
160714464,Inactive,0
160714465,Inactive,0
160714466,Inactive,0
160714467,Inactive,0
160714468,Inactive,0
160714469,Inactive,0
160714470,Inactive,0
160714471,Inactive,0
160714472,Inactive,0
160714473,Inactive,0
160714474,Inactive,0
160714475,Inactive,0
160714476,Inactive,0
160714477,Inactive,0
160714478,Inactive,0
160714479,Inactive,0
160714480,Inactive,0
160714481,Inactive,0
160714482,Inactive,0
160714483,Active,100
160714484,Inactive,0
160714485,Inactive,0
160714486,Inactive,0
160714487,Inactive,0
160714488,Inactive,0
160714489,Inactive,0
160714490,Inactive,0
160714491,Inactive,0
160714492,Inactive,0
160714493,Inactive,0
160714494,Inactive,0
160714495,Inactive,0
160714496,Active,100
160714497,Inactive,0
160714498,Inactive,0
160714499,Active,100
160714500,Inactive,0
160714501,Inactive,0
160714502,Inactive,0
160714503,Inactive,0
160714504,Inactive,0
160714505,Inactive,0
160714506,Inactive,0
160714507,Inactive,0
160714508,Inactive,0
160714509,Inactive,0
160714510,Inactive,0
160714511,Inactive,0
160714512,Inactive,0
160714513,Inactive,0
160714514,Inactive,0
160714515,Inactive,0
160714516,Inactive,0
160714517,Inactive,0
160714518,Inactive,0
160714519,Inactive,0
160714520,Inactive,0
160714521,Inactive,0
160714522,Inactive,0
160714523,Inactive,0
160714524,Inactive,0
160714525,Inactive,0
160714526,Active,100
160714527,Inactive,0
160714528,Inactive,0
160714529,Active,100
160714530,Inactive,0
160714531,Inactive,0
160714532,Inactive,0
160714533,Inactive,0
160714534,Active,100
160714535,Inactive,0
160714536,Inactive,0
160714537,Inactive,0
160714538,Inactive,0
160714539,Active,100
160714540,Active,100
160714541,Inactive,0
160714542,Inactive,0
160714543,Inactive,0
160714544,Inactive,0
160714545,Active,100
160714546,Inactive,0
160714547,Inactive,0
160714548,Inactive,0
160714549,Inactive,0
160714550,Inactive,0
160714551,Inactive,0
160714552,Inactive,0
160714553,Inactive,0
160714554,Inactive,0
160714555,Inactive,0
160714556,Inactive,0
160714557,Inactive,0
160714558,Active,100
160714559,Inactive,0
160714560,Inactive,0
160714561,Inactive,0
160714562,Inactive,0
160714563,Inactive,0
160714564,Inactive,0
160714565,Inactive,0
160714566,Inactive,0
160714567,Inactive,0
160714568,Inactive,0
160714569,Inactive,0
160714570,Inactive,0
160714571,Active,100
160714572,Inactive,0
160714573,Inactive,0
160714574,Inactive,0
160714575,Inactive,0
160714576,Inactive,0
160714577,Inactive,0
160714578,Inactive,0
160714579,Inactive,0
160714580,Inactive,0
160714581,Inactive,0
160714582,Inactive,0
160714583,Inactive,0
160714584,Inactive,0
160714585,Inactive,0
160714586,Active,100
160714587,Inactive,0
160714588,Active,100
160714589,Inactive,0
160714590,Inactive,0
160714591,Inactive,0
160714592,Inactive,0
160714593,Inactive,0
160714594,Inactive,0
160714595,Inactive,0
160714596,Inactive,0
160714597,Active,100
160714598,Inactive,0
160714599,Inactive,0
160714600,Inactive,0
160714601,Inactive,0
160714602,Active,100
160714603,Inactive,0
160714604,Inactive,0
160714605,Inactive,0
160714606,Inactive,0
160714607,Inactive,0
160714608,Inactive,0
160714609,Active,100
160714610,Inactive,0
160714611,Inactive,0
160714612,Inactive,0
160714613,Inactive,0
160714614,Inactive,0
160714615,Inactive,0
160714616,Inactive,0
160714617,Inactive,0
160714618,Inactive,0
160714619,Inactive,0
160714620,Inactive,0
160714621,Inactive,0
160714622,Inactive,0
160714623,Active,100
160714624,Inactive,0
160714625,Inactive,0
160714626,Inactive,0
160714627,Inactive,0
160714628,Inactive,0
160714629,Inactive,0
160714630,Inactive,0
160714631,Inactive,0
160714632,Inactive,0
160714633,Inactive,0
160714634,Inactive,0
160714635,Inactive,0
160714636,Active,100
160714637,Active,100
160714638,Inactive,0
160714639,Inactive,0
160714640,Inactive,0
160714641,Inactive,0
160714642,Active,100
160714643,Inactive,0
160714644,Inactive,0
160714645,Active,100
160714646,Inactive,0
160714647,Inactive,0
160714648,Inactive,0
160714649,Inactive,0
160714650,Inactive,0
160714651,Inactive,0
160714652,Inactive,0
160714653,Inactive,0
160714654,Inactive,0
160714655,Active,100
160714656,Inactive,0
160714657,Inactive,0
160714658,Inactive,0
160714659,Inactive,0
160714660,Active,100
160714661,Inactive,0
160714662,Inactive,0
160714663,Inactive,0
160714664,Inactive,0
160714665,Inactive,0
160714666,Active,100
160714667,Inactive,0
160714668,Inactive,0
160714669,Inactive,0
160714670,Inactive,0
160714671,Inactive,0
160714672,Inactive,0
160714673,Inactive,0
160714674,Active,100
160714675,Inactive,0
160714676,Inactive,0
160714677,Inactive,0
160714678,Inactive,0
160714679,Inactive,0
160714680,Inactive,0
160714681,Inactive,0
160714682,Inactive,0
160714683,Inactive,0
160714684,Inactive,0
160714685,Inactive,0
160714686,Inactive,0
160714687,Inactive,0
160714688,Inactive,0
160714689,Inactive,0
160714690,Inactive,0
160714691,Inactive,0
160714692,Inactive,0
160714693,Active,100
160714694,Inactive,0
160714695,Inactive,0
160714696,Inactive,0
160714697,Inactive,0
160714698,Inactive,0
160714699,Inactive,0
160714700,Inactive,0
160714701,Inactive,0
160714702,Inactive,0
160714703,Inactive,0
160714704,Inactive,0
160714705,Inactive,0
160714706,Inactive,0
160714707,Inactive,0
160714708,Inactive,0
160714709,Inactive,0
160714710,Inactive,0
160714711,Inactive,0
160714712,Inactive,0
160714713,Inactive,0
160714714,Active,100
160714715,Inactive,0
160714716,Inactive,0
160714717,Inactive,0
160714718,Inactive,0
160714719,Inactive,0
160714720,Inactive,0
160714721,Inactive,0
160714722,Inactive,0
160714723,Inactive,0
160714724,Inactive,0
160714725,Inactive,0
160714726,Inactive,0
160714727,Inactive,0
160714728,Inactive,0
160714729,Inactive,0
160714730,Active,100
160714731,Inactive,0
160714732,Inactive,0
160714733,Inactive,0
160714734,Inactive,0
160714735,Active,100
160714736,Inactive,0
160714737,Inactive,0
160714738,Inactive,0
160714739,Inactive,0
160714740,Inactive,0
160714741,Inactive,0
160714742,Inactive,0
160714743,Inactive,0
160714744,Inactive,0
160714745,Inactive,0
160714746,Inactive,0
160714747,Inactive,0
160714748,Inactive,0
160714749,Inactive,0
160714750,Inactive,0
160714751,Inactive,0
160714752,Inactive,0
160714753,Inactive,0
160714754,Inactive,0
160714755,Inactive,0
160714756,Inactive,0
160714757,Inactive,0
160714758,Inactive,0
160714759,Inactive,0
160714760,Inactive,0
160714761,Inactive,0
160714762,Inactive,0
160714763,Inactive,0
160714764,Inactive,0
160714765,Inactive,0
160714766,Inactive,0
160714767,Inactive,0
160714768,Inactive,0
160714769,Inactive,0
160714770,Inactive,0
160714771,Inactive,0
160714772,Inactive,0
160714773,Inactive,0
160714774,Inactive,0
160714775,Inactive,0
160714776,Inactive,0
160714777,Inactive,0
160714778,Inactive,0
160714779,Inactive,0
160714780,Inactive,0
160714781,Inactive,0
160714782,Active,100
160714783,Inactive,0
160714784,Inactive,0
160714785,Inactive,0
160714786,Inactive,0
160714787,Inactive,0
160714788,Inactive,0
160714789,Inactive,0
160714790,Inactive,0
160714791,Inactive,0
160714792,Inactive,0
160714793,Active,100
160714794,Inactive,0
160714795,Inactive,0
160714796,Active,100
160714797,Inactive,0
160714798,Inactive,0
160714799,Inactive,0
160714800,Inactive,0
160714801,Inactive,0
160714802,Inactive,0
160714803,Inactive,0
160714804,Active,100
160714805,Inactive,0
160714806,Inactive,0
160714807,Inactive,0
160714808,Inactive,0
160714809,Inactive,0
160714810,Inactive,0
160714811,Inactive,0
160714812,Inactive,0
160714813,Inactive,0
160714814,Inactive,0
160714815,Inactive,0
160714816,Inactive,0
160714817,Inactive,0
160714818,Inactive,0
160714819,Inactive,0
160714820,Inactive,0
160714821,Active,100
160714822,Inactive,0
160714823,Inactive,0
160714824,Inactive,0
160714825,Inactive,0
160714826,Inactive,0
160714827,Inactive,0
160714828,Inactive,0
160714829,Inactive,0
160714830,Inactive,0
160714831,Inactive,0
160714832,Active,100
160714833,Inactive,0
160714834,Inactive,0
160714835,Active,100
160714836,Inactive,0
160714837,Inactive,0
160714838,Inactive,0
160714839,Inactive,0
160714840,Inactive,0
160714841,Inactive,0
160714842,Inactive,0
160714843,Inactive,0
160714844,Inactive,0
160714845,Inactive,0
160714846,Inactive,0
160714847,Inactive,0
160714848,Active,100
160714849,Active,100
160714850,Inactive,0
160714851,Inactive,0
160714852,Inactive,0
160714853,Active,100
160714854,Inactive,0
160714855,Inactive,0
160714856,Inactive,0
160714857,Inactive,0
160714858,Inactive,0
160714859,Inactive,0
160714860,Inactive,0
160714861,Inactive,0
160714862,Inactive,0
160714863,Active,100
160714864,Inactive,0
160714865,Inactive,0
160714866,Inactive,0
160714867,Inactive,0
160714868,Active,100
160714869,Inactive,0
160714870,Inactive,0
160714871,Active,100
160714872,Active,100
160714873,Inactive,0
160714874,Inactive,0
160714875,Inactive,0
160714876,Inactive,0
160714877,Inactive,0
160714878,Inactive,0
160714879,Inactive,0
160714880,Active,100
160714881,Inactive,0
160714882,Inactive,0
160714883,Inactive,0
160714884,Inactive,0
160714885,Inactive,0
160714886,Inactive,0
160714887,Inactive,0
160714888,Inactive,0
160714889,Inactive,0
160714890,Inactive,0
160714891,Inactive,0
160714892,Active,100
160714893,Inactive,0
160714894,Inactive,0
160714895,Inactive,0
160714896,Inactive,0
160714897,Inactive,0
160714898,Inactive,0
160714899,Inactive,0
160714900,Inactive,0
160714901,Active,100
160714902,Inactive,0
160714903,Inactive,0
160714904,Inactive,0
160714905,Inactive,0
160714906,Inactive,0
160714907,Inactive,0
160714908,Inactive,0
160714909,Inactive,0
160714910,Inactive,0
160714911,Active,100
160714912,Inactive,0
160714913,Inactive,0
160714914,Inactive,0
160714915,Inactive,0
160714916,Inactive,0
160714917,Inactive,0
160714918,Inactive,0
160714919,Inactive,0
160714920,Inactive,0
160714921,Inactive,0
160714922,Inactive,0
160714923,Inactive,0
160714924,Inactive,0
160714925,Inactive,0
160714926,Inactive,0
160714927,Inactive,0
160714928,Inactive,0
160714929,Inactive,0
160714930,Inactive,0
160714931,Inactive,0
160714932,Inactive,0
160714933,Active,100
160714934,Inactive,0
160714935,Active,100
160714936,Inactive,0
160714937,Inactive,0
160714938,Inactive,0
160714939,Active,100
160714940,Inactive,0
160714941,Inactive,0
160714942,Inactive,0
160714943,Inactive,0
160714944,Inactive,0
160714945,Active,100
160714946,Inactive,0
160714947,Inactive,0
160714948,Inactive,0
160714949,Inactive,0
160714950,Inactive,0
160714951,Inactive,0
160714952,Inactive,0
160714953,Inactive,0
160714954,Inactive,0
160714955,Inactive,0
160714956,Inactive,0
160714957,Inactive,0
160714958,Inactive,0
160714959,Inactive,0
160714960,Inactive,0
160714961,Inactive,0
160714962,Inactive,0
160714963,Inactive,0
160714964,Inactive,0
160714965,Active,100
160714966,Inactive,0
160714967,Inactive,0
160714968,Inactive,0
160714969,Inactive,0
160714970,Inactive,0
160714971,Inactive,0
160714972,Inactive,0
160714973,Inactive,0
160714974,Inactive,0
160714975,Inactive,0
160714976,Inactive,0
160714977,Inactive,0
160714978,Inactive,0
160714979,Inactive,0
160714980,Inactive,0
160714981,Inactive,0
160714982,Inactive,0
160714983,Inactive,0
160714984,Inactive,0
160714985,Inactive,0
160714986,Inactive,0
160714987,Inactive,0
160714988,Inactive,0
160714989,Inactive,0
160714990,Active,100
160714991,Active,100
160714992,Inactive,0
160714993,Inactive,0
160714994,Inactive,0
160714995,Inactive,0
160714996,Inactive,0
160714997,Inactive,0
160714998,Inactive,0
160714999,Inactive,0
160715000,Active,100
160715001,Inactive,0
160715002,Inactive,0
160715003,Inactive,0
160715004,Inactive,0
160715005,Inactive,0
160715006,Active,100
160715007,Inactive,0
160715008,Inactive,0
160715009,Inactive,0
160715010,Inactive,0
160715011,Active,100
160715012,Inactive,0
160715013,Inactive,0
160715014,Inactive,0
160715015,Active,100
160715016,Inactive,0
160715017,Inactive,0
160715018,Inactive,0
160715019,Inactive,0
160715020,Inactive,0
160715021,Inactive,0
160715022,Inactive,0
160715023,Inactive,0
160715024,Inactive,0
160715025,Inactive,0
160715026,Inactive,0
160715027,Inactive,0
160715028,Inactive,0
160715029,Inactive,0
160715030,Inactive,0
160715031,Inactive,0
160715032,Inactive,0
160715033,Inactive,0
160715034,Inactive,0
160715035,Inactive,0
160715036,Inactive,0
160715037,Active,100
160715038,Inactive,0
160715039,Inactive,0
160715040,Inactive,0
160715041,Inactive,0
160715042,Inactive,0
160715043,Inactive,0
160715044,Inactive,0
160715045,Inactive,0
160715046,Inactive,0
160715047,Inactive,0
160715048,Inactive,0
160715049,Inactive,0
160715050,Active,100
160715051,Inactive,0
160715052,Inactive,0
160715053,Inactive,0
160715054,Inactive,0
160715055,Inactive,0
160715056,Inactive,0
160715057,Inactive,0
160715058,Inactive,0
160715059,Inactive,0
160715060,Inactive,0
160715061,Active,100
160715062,Inactive,0
160715063,Inactive,0
160715064,Inactive,0
160715065,Inactive,0
160715066,Inactive,0
160715067,Inactive,0
160715068,Inactive,0
160715069,Inactive,0
160715070,Inactive,0
160715071,Inactive,0
160715072,Active,100
