PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
134309999,Inactive,0
134310000,Inactive,0
134310001,Inactive,0
134310002,Inactive,0
134310007,Inactive,0
134310009,Inactive,0
134310010,Inactive,0
134310011,Inactive,0
134310022,Inactive,0
134310034,Inactive,0
134310042,Inactive,0
134310046,Inactive,0
134310047,Inactive,0
134310057,Inactive,0
134310058,Inactive,0
134310060,Inactive,0
134310061,Inactive,0
134310066,Inactive,0
134310067,Inactive,0
134310069,Active,100
134310070,Inactive,0
134310071,Inactive,0
134310077,Inactive,0
134310085,Active,100
134310087,Inactive,0
134310088,Active,100
134310089,Inactive,0
134310095,Inactive,0
134310096,Inactive,0
134310099,Inactive,0
134310101,Inactive,0
134310108,Inactive,0
134310113,Inactive,0
134310115,Inactive,0
134310116,Inactive,0
134310118,Inactive,0
134310120,Inactive,0
134310124,Inactive,0
134310128,Inactive,0
134310131,Inactive,0
134310132,Active,100
134310133,Inactive,0
134310134,Inactive,0
134310136,Inactive,0
134310137,Inactive,0
134310138,Inactive,0
134310139,Inactive,0
134310141,Inactive,0
134310142,Inactive,0
134310143,Active,100
134310144,Inactive,0
134310148,Active,100
134310149,Inactive,0
134310151,Inactive,0
134310152,Inactive,0
134310154,Inactive,0
134310155,Inactive,0
134310156,Inactive,0
134310157,Inactive,0
134310164,Inactive,0
134310165,Inactive,0
134310170,Inactive,0
134310171,Inactive,0
134310173,Inactive,0
134310174,Inactive,0
134310175,Inactive,0
134310176,Inactive,0
134310177,Inactive,0
134310178,Inactive,0
134310179,Inactive,0
134310183,Inactive,0
134310184,Inactive,0
134310186,Inactive,0
134310187,Inactive,0
134310189,Inactive,0
134310193,Inactive,0
134310194,Inactive,0
134310197,Inactive,0
134310203,Inactive,0
134310209,Inactive,0
134310211,Inactive,0
134310215,Active,100
134310218,Inactive,0
134310220,Inactive,0
134310223,Inactive,0
134310226,Inactive,0
134310227,Inactive,0
134310228,Inactive,0
134310230,Inactive,0
134310236,Inactive,0
134310240,Active,100
134310243,Inactive,0
134310246,Inactive,0
134310247,Inactive,0
134310251,Inactive,0
134310254,Inactive,0
134310255,Inactive,0
134310256,Inactive,0
134310257,Inactive,0
134310259,Inactive,0
134310260,Inactive,0
134310265,Inactive,0
134310266,Inactive,0
134310267,Inactive,0
134310270,Inactive,0
134310271,Inactive,0
134310273,Inactive,0
134310275,Inactive,0
134310278,Inactive,0
134310283,Inactive,0
134310284,Inactive,0
134310287,Inactive,0
134310289,Inactive,0
134310291,Inactive,0
134310292,Inactive,0
134310293,Inactive,0
134310294,Inactive,0
134310300,Active,100
134310302,Inactive,0
134310307,Inactive,0
134310308,Inactive,0
134310311,Active,100
134310313,Inactive,0
134310318,Inactive,0
134310324,Inactive,0
134310328,Inactive,0
134310329,Inactive,0
134310331,Inactive,0
134310336,Inactive,0
134310337,Inactive,0
134310338,Active,100
134310340,Inactive,0
134310341,Inactive,0
134310343,Inactive,0
134310344,Inactive,0
134310345,Inactive,0
134310351,Inactive,0
134310352,Inactive,0
134310353,Inactive,0
134310357,Inactive,0
134310358,Inactive,0
134310360,Inactive,0
134310368,Inactive,0
134310371,Inactive,0
134310372,Inactive,0
134310379,Inactive,0
134310382,Inactive,0
134310385,Inactive,0
134310386,Inactive,0
134310388,Inactive,0
134310389,Inactive,0
134310391,Inactive,0
134310394,Inactive,0
134310395,Inactive,0
134310396,Inactive,0
134310398,Inactive,0
134310400,Inactive,0
134310403,Inactive,0
134310404,Inactive,0
134310406,Inactive,0
134310409,Inactive,0
134310411,Active,100
134310414,Inactive,0
134310416,Inactive,0
134310417,Inactive,0
134310418,Inactive,0
134310421,Inactive,0
134310424,Inactive,0
134310425,Inactive,0
134310431,Inactive,0
134310433,Inactive,0
134310434,Inactive,0
134310435,Inactive,0
134310440,Inactive,0
134310442,Inactive,0
134310450,Inactive,0
134310452,Inactive,0
134310456,Inactive,0
134310463,Inactive,0
134310465,Inactive,0
134310468,Inactive,0
134310469,Inactive,0
134310470,Inactive,0
134310472,Inactive,0
134310475,Inactive,0
134310476,Inactive,0
134310478,Inactive,0
134310479,Inactive,0
134310481,Inactive,0
134310482,Inactive,0
134310485,Inactive,0
134310486,Inactive,0
134310488,Inactive,0
134310490,Inactive,0
134310496,Inactive,0
134310499,Inactive,0
134310502,Inactive,0
134310503,Inactive,0
134310505,Inactive,0
134310506,Inactive,0
134310509,Inactive,0
134310510,Inactive,0
134310515,Inactive,0
134310516,Inactive,0
134310517,Inactive,0
134310518,Inactive,0
134310519,Active,100
134310522,Active,100
134310526,Inactive,0
134310527,Inactive,0
134310528,Inactive,0
134310529,Inactive,0
134310535,Inactive,0
134310538,Inactive,0
134310542,Inactive,0
134310543,Inactive,0
134310548,Inactive,0
134310549,Inactive,0
134310550,Inactive,0
134310554,Inactive,0
134310556,Inactive,0
134310557,Inactive,0
134310558,Inactive,0
134310563,Inactive,0
134310565,Inactive,0
134310575,Inactive,0
134310576,Inactive,0
134310579,Inactive,0
134310580,Inactive,0
134310581,Inactive,0
134310585,Inactive,0
134310592,Inactive,0
134310593,Active,100
134310594,Inactive,0
134310596,Inactive,0
134310598,Active,100
134310599,Inactive,0
134310603,Inactive,0
134310606,Inactive,0
134310611,Inactive,0
134310615,Inactive,0
134310616,Inactive,0
134310617,Inactive,0
134310619,Inactive,0
134310630,Inactive,0
134310631,Inactive,0
134310632,Inactive,0
134310633,Inactive,0
134310634,Inactive,0
134310636,Inactive,0
134310637,Inactive,0
134310639,Inactive,0
134310641,Inactive,0
134310646,Inactive,0
134310649,Inactive,0
134310651,Inactive,0
134310653,Inactive,0
134310654,Inactive,0
134310656,Inactive,0
134310657,Inactive,0
134310658,Inactive,0
134310659,Inactive,0
134310663,Inactive,0
134310666,Inactive,0
134310667,Inactive,0
134310668,Inactive,0
134310672,Inactive,0
134310674,Inactive,0
134310681,Active,100
134310682,Inactive,0
134310683,Inactive,0
134310688,Inactive,0
134310693,Inactive,0
134310694,Inactive,0
134310695,Inactive,0
134310696,Inactive,0
134310700,Inactive,0
134310701,Inactive,0
134310702,Inactive,0
134310704,Inactive,0
134310707,Inactive,0
134310708,Inactive,0
134310710,Inactive,0
134310711,Inactive,0
134310712,Inactive,0
134310713,Inactive,0
134310716,Inactive,0
134310721,Inactive,0
134310724,Inactive,0
134310725,Inactive,0
134310727,Inactive,0
134310730,Inactive,0
134310731,Inactive,0
134310734,Inactive,0
134310735,Inactive,0
134310739,Inactive,0
134310740,Inactive,0
134310742,Inactive,0
134310744,Inactive,0
134310745,Inactive,0
134310747,Inactive,0
134310750,Inactive,0
134310754,Inactive,0
134310755,Inactive,0
134310757,Inactive,0
134310761,Inactive,0
134310764,Inactive,0
134310771,Inactive,0
134310772,Inactive,0
134310775,Inactive,0
134310780,Inactive,0
134310781,Inactive,0
134310783,Inactive,0
134310784,Inactive,0
134310785,Inactive,0
134310789,Inactive,0
134310793,Inactive,0
134310796,Inactive,0
134310799,Inactive,0
134310800,Inactive,0
134310802,Inactive,0
134310803,Inactive,0
134310804,Inactive,0
134310805,Inactive,0
134310809,Inactive,0
134310813,Inactive,0
134310814,Inactive,0
134310815,Inactive,0
134310817,Active,100
134310818,Inactive,0
134310819,Inactive,0
134310820,Inactive,0
134310821,Inactive,0
134310830,Inactive,0
134310831,Inactive,0
134310834,Inactive,0
134310835,Inactive,0
134310836,Inactive,0
134310837,Inactive,0
134310839,Inactive,0
134310840,Inactive,0
134310841,Inactive,0
134310843,Inactive,0
134310845,Inactive,0
134310846,Inactive,0
134310847,Inactive,0
134310849,Inactive,0
134310851,Inactive,0
134310852,Inactive,0
134310853,Inactive,0
134310856,Inactive,0
134310858,Inactive,0
134310861,Inactive,0
134310871,Inactive,0
134310872,Inactive,0
134310875,Inactive,0
134310876,Inactive,0
134310882,Inactive,0
134310885,Inactive,0
134310891,Inactive,0
134310892,Inactive,0
134310893,Inactive,0
134310895,Inactive,0
134310898,Inactive,0
134310901,Inactive,0
134310902,Inactive,0
134310905,Inactive,0
134310906,Inactive,0
134310907,Inactive,0
134310909,Inactive,0
134310913,Inactive,0
134310915,Inactive,0
134310916,Inactive,0
134310917,Inactive,0
134310920,Inactive,0
134310921,Inactive,0
134310923,Inactive,0
134310927,Inactive,0
134310928,Inactive,0
134310932,Inactive,0
134310936,Inactive,0
134310942,Inactive,0
134310943,Inactive,0
134310944,Inactive,0
134310945,Inactive,0
134310950,Inactive,0
134310951,Inactive,0
134310953,Inactive,0
134310956,Inactive,0
134310957,Inactive,0
134310958,Inactive,0
134310963,Inactive,0
134310965,Inactive,0
134310969,Inactive,0
134310978,Inactive,0
