PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Vendor Supplied Gene Symbol,Raw Sample Value,Median Negative Control on Plate,Median Positive Control on Plate,PPT Sample as Percentage of Negative Control,PPT MAD Z-Score,PPT Log MAD Z-Score,"Cell Count, Sample",Median Negative Control Cell Count on Plate,Median Positive Control Cell Count on Plate,"Sample Cell Count, MAD Z-Score Normalized to Negative Control",Sample Mitochondrial Signal,Median Negative Control Mitochondrial Signal on Plate,Median Positive Control Mitochondrial Signal on Plate,"Sample mitochondrial signal, MAD Z-Score Normalized to Negative Control",HUGO Gene Symbol,Entrez GeneID,CatalogNumber,REFSEQ,PLATE ID,Row Number,Column Number,Passed Initial Activity Threshold?
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,TARGET_NCBI_GENE_ID,STRING,STRING,STRING,INTEGER,INTEGER,STRING
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,,NONE,NONE,
2082,134314299,,Active,100,,,FKBP3,32.2552,9.53179,92.239,338.397,4.15641,2.32698,970,1373.5,1069.5,-1.16867,27.4227,30.0506,47.4993,0.591729,FKBP3,2287,M-009568-01,NM_002013,MAY1100741,13,11,Yes
2083,134314301,,Inactive,0,,,PSMC6,17.7843,21.7866,90.03,81.6292,-0.785874,-0.928501,1250,1430,1177.5,0.301446,43.76,44.9702,60.728,0.973828,PSMC6,5706,M-009570-00,NM_002806,QDA103479,13,3,No
2084,134314302,,Inactive,0,,,STYX,37.9867,37.5698,93.9149,101.11,-0.410909,-0.438541,940,1314,967,-1.08857,37.3404,42.5495,52.952,0.37098,STYX,6815,M-009571-01,NM_145251,QDA103628,9,11,No
2085,134314303,,Inactive,0,,,TIMM9,54.3562,38.6461,95.3755,140.651,0.350191,0.31711,1124,1126.5,949,1.38415,45.8185,52.3892,67.9261,0.352066,TIMM9,26520,M-009572-00,NM_012460,QDA104015,2,5,No
2086,134314304,,Inactive,0,,,DHRS7,30.9122,18.6904,91.3747,165.39,0.826369,0.688035,1076,1489,1199,-1.02501,36.71,45.0144,56.1081,-0.0207167,DHRS7,51635,M-009573-00,NM_016029,QDA103521,7,6,No
2087,134314305,,Inactive,0,,,PPM1A,62.6321,37.5698,93.9149,166.709,0.851747,0.706212,915,1314,967,-1.25516,34.3169,42.5495,52.952,-0.0775168,PPM1A,5494,M-009574-01,NM_021003,QDA103628,3,4,No
2088,134314306,,Inactive,0,,,ASB2,35.3621,22.7566,89.983,155.393,0.633938,0.545292,1131,1439.5,1209.5,-0.472891,40.1415,44.2122,57.9612,0.562547,ASB2,51676,M-009575-00,NM_016150,QDA103662,7,14,No
2089,134314308,,Inactive,0,,,MTHFD1,25.1466,18.4552,90.6847,136.258,0.26562,0.244455,1357,1456.5,1165.5,0.80543,35.9617,43.7454,59.5963,0.0206281,MTHFD1,4522,M-009577-00,NM_005956,QDA103556,13,11,No
2090,134314309,,Inactive,0,,,PSMC1,49.1366,18.6904,91.3747,262.897,2.70319,1.74903,957,1489,1199,-1.72477,28.4222,45.0144,56.1081,-1.1828,PSMC1,5700,M-009578-00,NM_002802,QDA103521,2,4,No
2091,134314313,,Inactive,0,,,SEC23A,51.3995,37.3744,93.9752,137.526,0.29003,0.265664,961,1102,961,0.283277,41.7274,51.6527,68.8182,-0.0691436,SEC23A,10484,M-009582-00,NM_006364,QDA103919,3,8,No
2092,134314317,,Active,100,,,GSS,58.3883,18.6904,91.3747,312.397,3.65596,2.14396,1218,1489,1199,-0.189997,33.7438,45.0144,56.1081,-0.436621,GSS,2937,M-009586-00,NM_000178,QDA103521,5,7,Yes
2093,134314319,,Active,100,,,ADA,9.85816,19.5679,90.8493,50.3792,-1.38738,-2.03334,1280,1429.5,1158,0.487876,43.75,43.045,57.1216,1.24706,ADA,100,M-009588-01,NM_000022,QDA103569,12,14,Yes
2094,134314320,,Inactive,0,,,TUBB1,20.556,18.6904,91.3747,109.981,-0.240151,-0.246004,1260,1489,1199,0.0569788,33.4127,45.0144,56.1081,-0.483053,TUBB1,81027,M-009589-01,NM_030773,QDA103521,3,12,No
2095,134314321,,Inactive,0,,,TCFL5,33.687,20.0319,90.3572,168.167,0.879816,0.726151,1078,1457,1168,-0.874024,41.2801,47.4073,58.9394,0.327928,TCFL5,10732,M-009590-00,NM_006602,QDA103469,3,13,No
2096,134314324,,Inactive,0,,,HAO1,31.3614,20.0397,91.2489,156.496,0.65518,0.561494,1308,1447.5,1148,0.559753,39.0673,45.5163,56.0895,0.24941,HAO1,54363,M-009593-00,NM_017545,QDA103561,5,19,No
2097,134314325,,Inactive,0,,,PLCB4,19.9812,19.606,90.2718,101.914,-0.395429,-0.420403,976,1414,1158.5,-1.30863,28.0738,43.1955,58.9567,-1.06589,PLCB4,5332,M-009594-00,NM_000933,QDA103513,4,19,No
2098,134314326,,Inactive,0,,,KIF3B,17.2093,19.5679,90.8493,87.9465,-0.664277,-0.75785,1407,1429.5,1158,1.26577,41.8621,43.045,57.1216,0.970235,KIF3B,9371,M-009595-01,NM_004798,QDA103569,5,11,No
2099,134314327,,Inactive,0,,,IDH3B,24.5234,19.5679,90.8493,125.325,0.0551784,0.0529744,1025,1429.5,1158,-1.07403,32.7805,43.045,57.1216,-0.361405,IDH3B,3420,M-009596-00,NM_006899,QDA103569,14,6,No
2100,134314330,,Inactive,0,,,AHCY,30.3605,21.695,90.6061,139.942,0.336546,0.305543,1450,1394,1181,1.75532,54,45.271,57.4234,2.36069,AHCY,191,M-009599-01,NM_000687,QDA103503,4,22,No
2101,134314334,,Inactive,0,,,ATP1B4,23.2088,20.6623,90.311,112.325,-0.195045,-0.197736,1491,1441,1196,1.70739,37.4916,43.402,56.578,0.284176,ATP1B4,23439,M-009603-00,NM_012069,QDA103532,5,4,No
2102,134314337,,Inactive,0,,,ARD1,19.5572,9.53179,92.239,205.179,1.59222,1.18155,982,1373.5,1069.5,-1.09217,28.8187,30.0506,47.4993,0.884951,ARD1A,8260,M-009606-00,NM_003491,MAY1100741,8,12,No
2103,134314338,,Inactive,0,,,TAZ,13.8778,21.7866,90.03,63.6988,-1.131,-1.4963,1410,1430,1177.5,1.28112,41.1347,44.9702,60.728,0.605367,TAZ,6901,M-009608-00,NM_000116,QDA103479,12,18,No
2104,134314339,,Inactive,0,,,GATA1,43.1461,20.0397,91.2489,215.303,1.7871,1.29182,1185,1447.5,1148,-0.184269,38.903,45.5163,56.0895,0.226623,GATA1,2623,M-009610-00,NM_002049,QDA103561,5,3,No
2105,134314341,,Inactive,0,,,FGD1,37.6118,20.6623,90.311,182.031,1.14667,0.90751,1419,1441,1196,1.2699,59.0557,43.402,56.578,3.42011,FGD1,2245,M-009612-01,NM_004463,QDA103532,4,20,No
2106,134314342,,Inactive,0,,,PORCN,26.0408,18.4552,90.6847,141.103,0.358886,0.324451,1099,1456.5,1165.5,-0.745557,42.7662,43.7454,59.5963,1.00239,PORCN,64840,M-009613-00,NM_022825,QDA103556,15,14,No
2107,134314345,,Inactive,0,,,ARHGEF7,27.4096,22.5118,90.8912,121.757,-0.0134892,-0.013139,1190,1431.5,1149,-0.0735682,35.126,43.544,55.1021,-0.0764996,ARHGEF7,8874,M-009616-00,NM_003899,QDA103467,3,20,No
2108,134314347,,Inactive,0,,,NFAT5,37.8788,21.7866,90.03,173.862,0.989441,0.8024,954,1430,1177.5,-1.51096,34.4864,44.9702,60.728,-0.327751,NFAT5,10725,M-009618-01,NM_006599,QDA103479,3,15,No
2109,134314348,,Inactive,0,,,DHODH,16.1725,19.5679,90.8493,82.6481,-0.766262,-0.900102,1035,1429.5,1158,-1.01278,26.087,43.045,57.1216,-1.34288,DHODH,1723,M-009619-00,NM_001361,QDA103569,11,12,No
2110,134314350,,Inactive,0,,,PSMD7,31,21.7866,90.03,142.289,0.381713,0.343612,1378,1430,1177.5,1.08519,36.5022,44.9702,60.728,-0.0448274,PSMD7,5713,M-009621-01,NM_002811,QDA103479,6,17,No
2111,134314352,,Inactive,0,,,LCAT,20.591,10.1407,91.6574,203.054,1.55132,1.15772,941,1329.5,1048.5,-1.15501,24.5484,32.8163,44.5829,-0.44652,LCAT,3931,M-009623-00,NM_000229,MAY1100743,15,16,No
2112,134314353,,Inactive,0,,,FA2H,28.7892,19.5679,90.8493,147.125,0.47479,0.420121,1048,1429.5,1158,-0.933152,37.2137,43.045,57.1216,0.288643,FA2H,79152,M-009624-00,NM_024306,QDA103569,14,16,No
2113,134314354,,Inactive,0,,,AXIN1,25.241,36.1611,95.1837,69.8016,-1.01353,-1.28685,1018,1090.5,955,0.821464,49.4106,58.5323,71.579,0.16007,AXIN1,8312,M-009625-01,NM_003502,QDA103802,14,19,No
2114,134314359,,Inactive,0,,,HMOX2,19.9843,18.4552,90.6847,108.285,-0.272792,-0.281577,1206,1456.5,1165.5,-0.102318,32.0066,43.7454,59.5963,-0.550016,HMOX2,3163,M-009630-00,NM_002134,QDA103556,5,19,No
2115,134314364,,Inactive,0,,,FAH,30.3175,20.6623,90.311,146.729,0.467167,0.41395,1168,1441,1196,-0.255231,35.4452,43.402,56.578,-0.0134218,FAH,2184,M-009635-00,NM_000137,QDA103532,8,20,No
2116,134314366,,Inactive,0,,,PLDN,54.9575,37.5458,94.6283,146.375,0.460355,0.408422,970,1123.5,982,0.207298,48.0412,60.3039,72.446,-0.139784,PLDN,26258,M-009637-00,NM_012388,QDA103984,3,9,No
2117,134314367,,Inactive,0,,,FLJ14007,33.0017,30.0608,94.3068,109.783,-0.243964,-0.250131,1057,1386,1039.5,-0.67483,31.5989,45.6733,57.6952,-0.801294,ZFAND1,79752,M-009638-00,NM_024699,QDA103820,15,4,No
2118,134314369,,Inactive,0,,,DLGAP2,57.0008,36.5438,94.5212,155.979,0.645223,0.553914,1125,1115.5,950.5,1.47815,56.0889,63.8407,73.5051,0.377291,DLGAP2,9228,M-009640-00,NM_004745,QDA103972,10,11,No
2119,134314374,,Inactive,0,,,CHRAC1,53.8515,21.8358,91.9146,246.62,2.3899,1.60271,1250,1416.5,1136.5,0.37439,49.84,48.3002,59.2304,1.3449,CHRAC1,54108,M-009645-00,NM_017444,QDA103591,10,9,No
2120,134314380,,Inactive,0,,,TUBB4,38.3957,31.3817,94.613,122.351,-0.00206421,-0.00200574,893,1331,1024.5,-1.47776,31.243,49.4545,63.6211,-1.18058,TUBB4,10382,M-009652-01,NM_006087,QDA103880,15,20,No
2121,134314382,,Inactive,0,,,ARHGEF18,20.4063,19.606,90.2718,104.082,-0.353701,-0.372216,1004,1414,1158.5,-1.13525,37.0518,43.1955,58.9567,0.245969,ARHGEF18,23370,M-009654-00,NM_015318,QDA103513,7,10,No
2122,134314386,,Active,100,,,PLD3,60.1844,19.606,90.2718,306.97,3.5515,2.10384,1144,1414,1158.5,-0.268329,51.2238,43.1955,58.9567,2.31677,PLD3,23646,M-009659-00,NM_012268,QDA103513,6,10,Yes
2123,134314387,,Inactive,0,,,TJP3,29.54,38.7128,94.8327,76.3055,-0.888345,-1.0829,1166,1071,930,2.18025,53.5163,58.5053,70.947,0.605457,TJP3,27134,M-009660-00,NM_014428,QDA103887,13,12,No
2124,134314388,,Inactive,0,,,SULT2A1,21.4672,21.695,90.6061,98.9499,-0.452484,-0.487976,1207,1394,1181,0.229015,50.7042,45.271,57.4234,1.90119,SULT2A1,6822,M-009661-01,NM_003167,QDA103503,12,20,No
2125,134314391,,Inactive,0,,,HAS1,25.2964,21.9795,90.6248,115.091,-0.141793,-0.142032,1119,1401.5,1181.5,-0.361335,24.8436,45.3517,58.6542,-1.71047,HAS1,3036,M-009664-00,NM_001523,QDA103583,11,15,No
2126,134314394,,Inactive,0,,,RAB3A,26.565,19.606,90.2718,135.494,0.25093,0.231597,1123,1414,1158.5,-0.398367,39.2698,43.1955,58.9567,0.570065,RAB3A,5864,M-009668-01,NM_002866,QDA103513,9,18,No
2127,134314395,,Inactive,0,,,ISYNA1,22.6837,18.4552,90.6847,122.912,0.00875087,0.00848355,1157,1456.5,1165.5,-0.396885,32.7571,43.7454,59.5963,-0.441733,-,51477,M-009669-00,NM_016368,QDA103556,8,16,No
2128,134314396,,Inactive,0,,,MLL4,19.5976,20.7251,90.7234,94.56,-0.53698,-0.591862,1186,1424,1182,-0.0598274,40.8938,43.5393,56.3724,0.760165,-,9757,M-009670-00,NM_014727,QDA103653,6,9,No
2129,134314403,,Inactive,0,,,MPP6,26.6135,20.7811,91.2401,128.066,0.107945,0.102512,1111,1423.5,1155.5,-0.518586,39.514,43.5888,57.6915,0.553647,MPP6,51678,M-009678-00,NM_016447,QDA103458,4,10,No
2130,134314409,,Inactive,0,,,CYP3A5,53.1452,38.7128,94.8327,137.281,0.285313,0.261581,994,1071,930,0.774076,48.2897,58.5053,70.947,0.0416029,CYP3A5,1577,M-009684-00,NM_000777,QDA103887,12,15,No
2131,134314413,,Inactive,0,,,TSGA14,27.7184,21.695,90.6061,127.764,0.102129,0.0971042,1036,1394,1181,-0.845054,23.166,45.271,57.4234,-1.9382,TSGA14,95681,M-009689-00,NM_018718,QDA103503,5,14,No
2132,134314421,,Inactive,0,,,EDF1,33.5399,20.2515,91.4596,165.617,0.830729,0.691168,1191,1385.5,1123,0.174412,49.2863,43.4837,57.8597,1.98595,EDF1,8721,M-009697-01,NM_003792,QDA103454,2,3,No
2133,134314422,,Inactive,0,,,PTGDS,12.9545,9.53179,92.239,135.909,0.258907,0.238587,1273,1373.5,1069.5,0.762909,22.0738,30.0506,47.4993,-0.531718,PTGDS,5730,M-009698-00,NM_000954,MAY1100741,3,20,No
2134,134314423,,Inactive,0,,,ABCA2,59.5642,22.5118,90.8912,264.591,2.7358,1.76374,772,1431.5,1149,-2.63029,30.829,43.544,55.1021,-0.699354,ABCA2,20,M-009699-00,NM_001606,QDA103467,7,11,No
2135,134314427,,Inactive,0,,,OGDHL,26.6667,20.7811,91.2401,128.322,0.112865,0.107077,1059,1423.5,1155.5,-0.838435,19.169,43.5888,57.6915,-2.39232,OGDHL,55753,M-009703-00,NM_018245,QDA103458,6,19,No
2136,134314428,,Inactive,0,,,PPP3CB,41.9508,37.5698,93.9149,111.661,-0.207815,-0.211299,1062,1314,967,-0.275624,30.4143,42.5495,52.952,-0.656424,PPP3CB,5532,M-009704-01,NM_021132,QDA103628,11,10,No
2137,134314432,,Inactive,0,,,PPIF,32.8956,21.8358,91.9146,150.65,0.542644,0.474328,1386,1416.5,1136.5,1.21505,48.6292,48.3002,59.2304,1.18668,PPIF,10105,M-009708-00,NM_005729,QDA103591,6,20,No
2138,134314436,,Inactive,0,,,WNT3,32.72,40.6183,94.8739,80.5549,-0.806552,-0.95883,1108,1086,927.5,1.58096,54.6029,50.003,65.5727,1.7243,WNT3,7473,M-009712-00,NM_030753,QDA103915,15,8,No
2139,134314439,,Inactive,0,,,CBX1,29.7529,38.7128,94.8327,76.8554,-0.87776,-1.06646,876,1071,930,-0.190622,41.5525,58.5053,70.947,-0.685226,CBX1,10951,M-009716-00,NM_006807,QDA103887,3,17,No
2140,134314441,,Inactive,0,,,RASD1,19.1152,19.606,90.2718,97.4968,-0.480453,-0.521844,1095,1414,1158.5,-0.57175,18.2648,43.1955,58.9567,-2.49917,RASD1,51655,M-009719-00,NM_016084,QDA103513,7,19,No
2141,134314445,,Inactive,0,,,TCFL4,46.899,22.5118,90.8912,208.331,1.6529,1.21645,1256,1431.5,1149,0.330125,42.1975,43.544,55.1021,0.948499,MLX,6945,M-009724-00,NM_170607,QDA103467,6,8,No
2142,134314446,,Inactive,0,,,CNTNAP1,23.0183,19.5679,90.8493,117.633,-0.0928721,-0.0920272,1212,1429.5,1158,0.0713681,29.0429,43.045,57.1216,-0.909448,CNTNAP1,8506,M-009725-01,NM_003632,QDA103569,9,16,No
2143,134314449,,Inactive,0,,,ARHGEF15,45.0611,36.804,94.9573,122.436,-0.000428332,-0.000416051,1007,1138.5,959.5,0.392255,54.3198,49.9338,71.064,1.69807,ARHGEF15,22899,M-009731-00,NM_173728,QDA103944,11,19,No
2144,134314451,,Active,100,,,FOXN1,10.0515,22.5118,90.8912,44.6502,-1.49765,-2.30971,1433,1431.5,1149,1.41276,39.4278,43.544,55.1021,0.547034,FOXN1,8456,M-009733-00,NM_003593,QDA103467,4,16,Yes
2145,134314452,,Inactive,0,,,UNC119,58.0593,34.8669,94.0704,166.517,0.848054,0.703576,1148,1288,1000,0.451858,47.1254,43.9986,57.1148,1.59224,UNC119,9094,M-009734-00,NM_005148,QDA103765,9,21,No
2146,134314453,,Inactive,0,,,RAB34,37.1069,43.3453,94.8239,85.6077,-0.709294,-0.819555,811,1104,982.5,-0.920211,29.5931,55.319,68.2809,-1.79155,RAB34,83871,M-009735-00,NM_031934,QDA104007,5,20,No
2147,134314456,,Inactive,0,,,SULT1E1,30.3587,21.9795,90.6248,138.123,0.301526,0.275584,1019,1401.5,1181.5,-0.986084,32.6791,45.3517,58.6542,-0.61999,SULT1E1,6783,M-009738-00,NM_005420,QDA103583,8,14,No
2148,134314457,,Inactive,0,,,WFS1,11.001,10.1407,91.6574,108.484,-0.268974,-0.277388,926,1329.5,1048.5,-1.2538,16.6307,32.8163,44.5829,-1.96936,WFS1,7466,M-009740-01,NM_006005,MAY1100743,9,15,No
2149,134314460,,Inactive,0,,,CRYAB,23.8011,36.484,94.2952,65.2369,-1.10139,-1.44168,1002,1409.5,993,-1.12782,40.02,48.0885,61.2497,0.0846707,CRYAB,1410,M-009743-00,NM_001885,QDA103745,12,10,No
2150,134314463,,Inactive,0,,,LPXN,32.931,20.7251,90.7234,158.895,0.701342,0.596311,1076,1424,1182,-0.736193,41.2639,43.5393,56.3724,0.813828,LPXN,9404,M-009746-01,NM_004811,QDA103653,9,18,No
2151,134314467,,Inactive,0,,,ARHGEF17,30,18.6904,91.3747,160.51,0.732431,0.619464,1355,1489,1199,0.615613,56.4576,45.0144,56.1081,2.74818,ARHGEF17,9828,M-009751-01,NM_014786,QDA103521,5,4,No
2152,134314468,,Inactive,0,,,PDHX,58.756,21.7866,90.03,269.688,2.83391,1.80742,1537,1430,1177.5,2.05874,34.1574,44.9702,60.728,-0.373917,PDHX,8050,M-009752-01,NM_003477,QDA103479,2,5,No
2153,134314471,,Inactive,0,,,MGC4767,19.9831,21.1397,91.5204,94.5291,-0.537576,-0.592611,1123,1449.5,1145.5,-0.568677,23.5975,46.4647,58.6575,-1.96256,COQ5,84274,M-009755-01,NM_032314,QDA103485,14,6,No
2154,134314474,,Active,100,,,MYF6,42.7474,10.1407,91.6574,421.544,5.75684,2.82996,1017,1329.5,1048.5,-0.65449,18.5841,32.8163,44.5829,-1.59366,MYF6,4618,M-009758-00,NM_002469,MAY1100743,4,18,Yes
2155,134314476,,Inactive,0,,,FLJ21963,11.1972,20.0397,91.2489,55.8751,-1.28159,-1.79631,1344,1447.5,1148,0.777515,44.3452,45.5163,56.0895,0.981299,-,79611,M-009760-00,NM_024560,QDA103561,13,14,No
2156,134314477,,Inactive,0,,,WNT5B,58.364,33.2009,94.8342,175.79,1.02655,0.827643,980,1114,949,0.350364,42.7551,57.5755,71.2572,-0.481001,WNT5B,81029,M-009761-00,NM_030775,QDA103899,8,16,No
2157,134314478,,Inactive,0,,,FOXM1,19.4676,21.8358,91.9146,89.1543,-0.641029,-0.726624,1081,1416.5,1136.5,-0.670256,34.3201,48.3002,59.2304,-0.683185,FOXM1,2305,M-009762-00,NM_021953,QDA103591,10,19,No
2158,134314481,,Inactive,0,,,ALDH2,52.1642,20.2515,91.4596,257.582,2.60088,1.70227,1186,1385.5,1123,0.142814,45.0253,43.4837,57.8597,1.36745,ALDH2,217,M-009766-00,NM_000690,QDA103454,5,21,No
2159,134314487,,Inactive,0,,,FLJ22655,44.2748,38.6461,95.3755,114.565,-0.151924,-0.152527,1001,1126.5,949,0.428118,38.5614,52.3892,67.9261,-0.522244,-,79785,M-009772-00,NM_024730,QDA104015,3,20,No
2160,134314496,,Inactive,0,,,RAB35,19.7836,18.4552,90.6847,107.198,-0.293718,-0.304678,1148,1456.5,1165.5,-0.450989,34.4948,43.7454,59.5963,-0.191021,RAB35,11021,M-009781-00,NM_006861,QDA103556,12,16,No
2161,134314498,,Inactive,0,,,DDAH2,13.7712,9.53179,92.239,144.476,0.423816,0.378537,1272,1373.5,1069.5,0.756534,33.9623,30.0506,47.4993,1.96528,DDAH2,23564,M-009783-00,NM_013974,MAY1100741,10,4,No
2162,134314501,,Inactive,0,,,BACH2,31.2398,22.5118,90.8912,138.771,0.313999,0.2863,1101,1431.5,1149,-0.617942,29.1553,43.544,55.1021,-0.941956,BACH2,60468,M-009787-00,NM_021813,QDA103467,3,5,No
2163,134314503,,Inactive,0,,,RAB23,12.835,21.695,90.6061,59.161,-1.21834,-1.66549,1327,1394,1181,0.982748,42.2005,45.271,57.4234,0.715591,RAB23,51715,M-009789-00,NM_016277,QDA103503,13,9,No
2164,134314504,,Inactive,0,,,SIM1,28.465,21.1397,91.5204,134.652,0.234713,0.217316,1139,1449.5,1145.5,-0.472027,34.504,46.4647,58.6575,-0.481049,SIM1,6492,M-009791-00,NM_005068,QDA103485,10,8,No
2165,134314507,,Inactive,0,,,THEM2,25.3827,20.7811,91.2401,122.143,-0.00606375,-0.00589701,1455,1423.5,1155.5,1.59734,36.4261,43.5888,57.6915,0.106526,THEM2,55856,M-009794-00,NM_018473,QDA103458,13,11,No
2166,134314511,,Inactive,0,,,PPP2R5D,39.4528,37.5698,93.9149,105.012,-0.335795,-0.351845,1209,1314,967,0.703913,32.0099,42.5495,52.952,-0.419734,PPP2R5D,5528,M-009799-01,NM_006245,QDA103628,7,14,No
2167,134314513,,Inactive,0,,,NUDT3,48.0947,37.5698,93.9149,128.015,0.106956,0.101593,856,1314,967,-1.64831,33.8785,42.5495,52.952,-0.142553,NUDT3,11165,M-009801-00,NM_006703,QDA103628,4,12,No
2168,134314515,,Inactive,0,,,PECI,24.1717,20.2515,91.4596,119.358,-0.0596748,-0.0587055,1243,1385.5,1123,0.503033,38.6163,43.4837,57.8597,0.437175,PECI,10455,M-009804-00,NM_006117,QDA103454,5,14,No
2169,134314516,,Inactive,0,,,ENPP5,42.6208,18.6904,91.3747,228.035,2.03217,1.42335,1351,1489,1199,0.592092,34.2709,45.0144,56.1081,-0.362719,ENPP5,59084,M-009805-01,NM_021572,QDA103521,6,11,No
2170,134314523,,Inactive,0,,,HAND1,45.8947,21.8358,91.9146,210.181,1.68851,1.2367,1308,1416.5,1136.5,0.732907,41.3609,48.3002,59.2304,0.23688,HAND1,9421,M-009812-00,NM_004821,QDA103591,12,3,No
2171,134314526,,Inactive,0,,,AGXT2,36.2345,18.4552,90.6847,196.338,1.42205,1.08072,1043,1456.5,1165.5,-1.08221,49.4727,43.7454,59.5963,1.97003,AGXT2,64902,M-009818-00,NM_031900,QDA103556,7,14,No
2172,134314528,,Inactive,0,,,RARS,13.0081,9.53179,92.239,136.471,0.269727,0.248037,1283,1373.5,1069.5,0.826658,25.8769,30.0506,47.4993,0.26705,RARS,5917,M-009820-00,NM_002887,MAY1100741,6,15,No
2173,134314529,,Active,100,,,DPYSL3,8.74251,21.8358,91.9146,40.0375,-1.58643,-2.55934,1582,1416.5,1136.5,2.42659,50.7585,48.3002,59.2304,1.46494,DPYSL3,1809,M-009821-00,NM_001387,QDA103591,12,19,Yes
2174,134314533,,Inactive,0,,,RBP2,43.1227,37.5458,94.6283,114.854,-0.146366,-0.146763,939,1123.5,982,-0.0342964,48.7753,60.3039,72.446,-0.0629542,RBP2,5948,M-009825-00,NM_004164,QDA103984,8,11,No
2175,134314535,,Inactive,0,,,GNAT1,44.8247,31.3817,94.613,142.837,0.39226,0.352411,1147,1331,1024.5,0.193155,36.966,49.4545,63.6211,-0.450174,GNAT1,2779,M-009827-01,NM_000172,QDA103880,9,18,No
2176,134314539,,Inactive,0,,,MGC15429,51.15,20.7811,91.2401,246.137,2.38058,1.59822,994,1423.5,1155.5,-1.23825,35.2113,43.5888,57.6915,-0.0693857,ABHD14B,84836,M-009831-00,NM_032750,QDA103458,9,16,No
2177,134314540,,Inactive,0,,,ACY1,31.3772,20.4162,90.2684,153.687,0.60111,0.520027,1157,1385.5,1193,-0.0404558,30.3371,41.3965,56.0385,-0.542544,ACY1,95,M-009832-01,NM_000666,QDA103642,13,10,No
2178,134314541,,Inactive,0,,,SGEF,54.6087,36.1611,95.1837,151.015,0.549675,0.479872,990,1090.5,955,0.596646,54.8485,58.5323,71.579,0.746451,-,26084,M-009833-00,NM_015595,QDA103802,15,21,No
2179,134314543,,Inactive,0,,,TTL,33.4405,18.4552,90.6847,181.199,1.13065,0.897016,1100,1456.5,1165.5,-0.739545,36.6364,43.7454,59.5963,0.117973,TTL,150465,M-009837-00,NM_153712,QDA103556,13,7,No
2180,134314544,,Inactive,0,,,TP53I3,20.4907,21.7866,90.03,94.0517,-0.546763,-0.6042,1361,1430,1177.5,0.981096,35.2682,44.9702,60.728,-0.218022,TP53I3,9540,M-009840-01,NM_004881,QDA103479,8,21,No
2181,134314545,,Inactive,0,,,ITSN2,34.3936,33.9208,94.4323,101.394,-0.405439,-0.432115,863,1304,1015.5,-1.55756,27.3465,44.8517,59.5009,-1.31972,ITSN2,50618,M-009841-00,NM_006277,QDA103773,5,14,No
2182,134314546,,Active,100,,,RBJ,58.5994,18.6904,91.3747,313.526,3.6777,2.15222,904,1489,1199,-2.03643,36.3938,45.0144,56.1081,-0.065057,-,51277,M-009842-00,NM_016544,QDA103521,13,4,Yes
2183,134314551,,Inactive,0,,,ACADL,44.97,20.0391,92.1121,224.411,1.96241,1.38667,1204,1469,1150.5,-0.17593,38.4552,47.0984,60.5051,-0.0146058,ACADL,33,M-009851-00,NM_001608,QDA103531,11,11,No
2184,134314552,,Inactive,0,,,HIBCH,22.6976,21.7866,90.03,104.181,-0.351789,-0.370032,1216,1430,1177.5,0.0932643,33.3882,44.9702,60.728,-0.481889,HIBCH,26275,M-009852-00,NM_014362,QDA103479,7,18,No
2185,134314553,,Inactive,0,,,FN1,34.2169,22.5118,90.8912,151.996,0.568546,0.494686,1137,1431.5,1149,-0.397746,47.9332,43.544,55.1021,1.77989,FN1,2335,M-009853-01,NM_002026,QDA103467,10,6,No
2186,134314554,,Inactive,0,,,PAPOLG,27.8772,21.695,90.6061,128.496,0.116225,0.110189,1103,1394,1181,-0.42422,41.5231,45.271,57.4234,0.621157,PAPOLG,64895,M-009854-00,NM_022894,QDA103503,5,22,No
2187,134314557,,Inactive,0,,,OTX1,46.6472,20.0391,92.1121,232.781,2.12352,1.4705,904,1469,1150.5,-1.96406,27.7655,47.0984,60.5051,-1.44714,OTX1,5013,M-009857-00,NM_014562,QDA103531,5,14,No
2188,134314561,,Inactive,0,,,SULT1C1,38.4549,18.4552,90.6847,208.369,1.65364,1.21688,1005,1456.5,1165.5,-1.31064,22.9851,43.7454,59.5963,-1.85167,SULT1C2,6819,M-009862-00,NM_001056,QDA103556,14,6,No
2189,134314562,,Inactive,0,,,TPO,32.4388,22.5118,90.8912,144.097,0.416519,0.372523,1071,1431.5,1149,-0.801439,35.9477,43.544,55.1021,0.0426003,TPO,7173,M-009863-00,NM_000547,QDA103467,6,5,No
