PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Vendor Supplied Gene Symbol,Raw Sample Value,Median Negative Control on Plate,Median Positive Control on Plate,PPT Sample as Percentage of Negative Control,PPT MAD Z-Score,PPT Log MAD Z-Score,"Cell Count, Sample",Median Negative Control Cell Count on Plate,Median Positive Control Cell Count on Plate,"Sample Cell Count, MAD Z-Score Normalized to Negative Control",Sample Mitochondrial Signal,Median Negative Control Mitochondrial Signal on Plate,Median Positive Control Mitochondrial Signal on Plate,"Sample mitochondrial signal, MAD Z-Score Normalized to Negative Control",HUGO Gene Symbol,Entrez GeneID,CatalogNumber,REFSEQ,PLATE ID,Row Number,Column Number,Passed Initial Activity Threshold?
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,TARGET_NCBI_GENE_ID,STRING,STRING,STRING,INTEGER,INTEGER,STRING
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,,NONE,NONE,
10706,135625200,,Inactive,0,,,KIAA1505,24.1532,37.3744,93.9752,64.6248,-1.11317,-1.46326,1247,1102,961,2.55567,45.7899,51.6527,68.8182,0.427276,-,57639,M-032700-00,NM_020879,QDA103919,11,3,No
10707,135625201,,Inactive,0,,,LPIN3,35.2559,36.804,94.9573,95.7937,-0.513233,-0.562186,1109,1138.5,959.5,1.17671,35.0766,49.9338,71.064,-0.734281,LPIN3,64900,M-032702-00,NM_022896,QDA103944,2,8,No
10708,135625202,,Inactive,0,,,MGC2463,43.8525,33.7036,93.9919,130.112,0.147329,0.138799,1048,1297,999,-0.277381,47.6145,41.3531,56.4758,2.09935,PVRIG,79037,M-032703-01,NM_024070,QDA103793,14,19,No
10709,135625203,,Inactive,0,,,MGC3196,47.3066,34.8669,94.0704,135.677,0.254452,0.234686,950,1288,1000,-0.894152,29.1579,43.9986,57.1148,-0.985248,-,79064,M-032704-00,NM_001080501,QDA103765,14,22,No
10710,135625204,,Inactive,0,,,MGC10334,33.1204,34.3386,94.6928,96.4524,-0.500556,-0.5465,927,1108.5,937,-0.030057,52.2114,55.7682,69.6855,0.741141,-,80772,M-032710-00,NM_001029885,QDA103909,14,14,No
10711,135625205,,Inactive,0,,,OR10W1,20.3187,35.7543,94.1109,56.8288,-1.26323,-1.75756,870,1101,972,-0.433479,50.8046,62.1164,73.382,-0.00571558,OR10W1,81341,M-032711-01,NM_207374,QDA103960,7,9,No
10712,135625206,,Inactive,0,,,KIAA1787,46.2295,37.5458,94.6283,123.128,0.012908,0.0125027,844,1123.5,982,-0.774667,42.0616,60.3039,72.446,-0.765641,-,84461,M-032714-01,NM_001005408,QDA103984,15,22,No
10713,135625208,,Inactive,0,,,LBX2,23.2223,34.3386,94.6928,67.6274,-1.05538,-1.35929,990,1108.5,937,0.46757,37.5758,55.7682,69.6855,-0.915287,LBX2,85474,M-032717-00,NM_001009812,QDA103909,9,9,No
10714,135625209,,Inactive,0,,,LOC90639,26.6764,32.4599,94.5014,82.1826,-0.775222,-0.913032,1259,1301,999,1.12092,35.1072,41.977,57.6373,0.11074,COX19,90639,M-032719-00,NM_001031617,QDA103843,3,11,No
10715,135625210,,Inactive,0,,,DKFZp434N2030,56.1144,30.0608,94.3068,186.67,1.23596,0.965118,927,1386,1039.5,-1.49609,33.1176,45.6733,57.6952,-0.591419,C12orf29,91298,M-032720-00,NM_001009894,QDA103820,3,10,No
